Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,13.05.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02966562630qspobkfn.czuv.3ll.t.qbsl.tubojn.c.tnfuboz.dc/qiq,13750,481!12,čftlê!CveĜkpwjdf,2+kk,|  osobní  |  centrum  |  MHD  
X,13.05.2024,13.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02966676320qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
A,11.05.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029656:3910qspokfn.czuv/qiq,Vtextu,481!18,čftlê!CveĜkpwjdf,2+kk,""
X,10.05.2024,06.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02965233830qspobkfn.czu.3ll.62/qiq,15000,481!15,čftlê!CveĜkpwjdf,2+kk,|  OV  |  MHD  
X,10.05.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296512:910qspobkfn.czuv.3ll.w.dfousv.dc/qiq,Vtextu,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,09.05.2024,13.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02964694520qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,09.05.2024,08.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02964894660qspobkfn.czuv.3ll.publbspwb.vm.dftlf.cvefkpwjdf/qiq,13000,481!12,čftlê!CveĜkpwjdf,2+kk,""
X,08.05.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02964361240czu.3.ll/qiq,10000,481!18,čftlê!CveĜkpwjdf,2+kk,""
X,08.05.2024,08.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02964414290qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,07.05.2024,16.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029638317:0qspobkfn.czu.3ll.59/qiq,8500,486!12,čftlê!CveĜkpwjdf,2+kk,|  balk  
